prefix,number_of_sites,backing_prefix
2001:500:86::/48,2,2001:500:86::/48
2001:500:87::/48,3,2001:500:87::/48
2001:500:88::/48,2,2001:500:88::/48
2001:500:89::/48,2,2001:500:89::/48
2001:500:8d::/48,2,2001:500:8d::/48
2001:500:8e::/48,4,2001:500:8e::/48
2001:500:8f::/48,2,2001:500:8f::/48
2001:500:9f::/48,18,2001:500:9f::/48
2001:500:a0::/48,10,2001:500:a0::/48
2001:500:a1::/48,10,2001:500:a1::/48
2001:500:a2::/48,10,2001:500:a2::/48
2001:500:a3::/48,14,2001:500:a3::/48
2001:500:a4::/48,16,2001:500:a4::/48
2001:500:a5::/48,16,2001:500:a5::/48
2001:500:a7::/48,9,2001:500:a7::/48
2001:500:a8::/48,40,2001:500:a8::/48
2001:500:b::/48,10,2001:500:b::/48
2001:500:c0::/48,12,2001:500:c0::/48
2001:500:c1::/48,12,2001:500:c1::/48
2001:500:c::/48,11,2001:500:c::/48
2001:500:d0::/48,10,2001:500:d0::/48
2001:500:d1::/48,15,2001:500:d1::/48
2001:500:d937::/48,8,2001:500:d937::/48
2001:500:d::/48,12,2001:500:d::/48
2001:500:e0::/48,16,2001:500:e0::/48
2001:500:e1::/48,16,2001:500:e1::/48
2001:500:e::/48,11,2001:500:e::/48
2001:500:f0::/48,2,2001:500:f0::/48
2001:500:f::/48,16,2001:500:f::/48
2001:501:b1f9::/48,6,2001:501:b1f9::/48
2001:502:100e::/48,19,2001:502:100e::/48
2001:502:1ca1::/48,6,2001:502:1ca1::/48
2001:502:4612::/48,17,2001:502:4612::/48
2001:502:7094::/48,9,2001:502:7094::/48
2001:502:8cc::/48,6,2001:502:8cc::/48
2001:502:ad09::/48,20,2001:502:ad09::/48
2001:502:d399::/48,21,2001:502:d399::/48
2001:502:f3ff::/48,21,2001:502:f3ff::/48
2001:503:231d::/48,17,2001:503:231d::/48
2001:503:39c1::/48,8,2001:503:39c1::/48
2001:503:83eb::/48,8,2001:503:83eb::/48
2001:503:a83e::/48,9,2001:503:a83e::/48
2001:503:ba3e::/48,12,2001:503:ba3e::/48
2001:503:c27::/48,24,2001:503:c27::/48
2001:503:d2d::/48,10,2001:503:d2d::/48
2001:503:d414::/48,9,2001:503:d414::/48
2001:503:e239::/48,20,2001:503:e239::/48
2001:503:eea3::/48,11,2001:503:eea3::/48
2001:503:ff40::/48,50,2001:503:ff40::/48
2001:503:ff41::/48,48,2001:503:ff41::/48
2001:503:ff42::/48,49,2001:503:ff42::/48
2001:503:ff43::/48,48,2001:503:ff43::/48
2001:550:1::/48,5,2001:550::/32
2001:558:feed::/48,8,2001:558::/29
2001:578:3f::/48,4,2001:578::/30
2001:610:9000::/48,18,2001:610:9000::/41
2001:678:10::/48,5,2001:678:10::/48
2001:678:11::/48,5,2001:678:11::/48
2001:678:12::/48,7,2001:678:12::/48
2001:678:15::/48,3,2001:678:15::/48
2001:678:1::/48,6,2001:678:1::/48
2001:678:1b::/48,8,2001:678:1b::/48
2001:678:1c::/48,10,2001:678:1c::/48
2001:678:20::/48,24,2001:678:20::/48
2001:678:24::/48,3,2001:678:24::/48
2001:678:28::/48,45,2001:678:28::/48
2001:678:2::/48,5,2001:678:2::/48
2001:678:2c::/48,9,2001:678:2c::/48
2001:678:3::/48,43,2001:678:3::/48
2001:678:3a8::/48,3,2001:678:3a8::/48
2001:678:40::/48,8,2001:678:40::/48
2001:678:44::/48,16,2001:678:44::/48
2001:678:47c::/48,16,2001:678:47c::/48
2001:678:4::/48,7,2001:678:4::/48
2001:678:4bc::/48,3,2001:678:4bc::/48
2001:678:4c::/48,42,2001:678:4c::/48
2001:678:50::/48,5,2001:678:50::/48
2001:678:54::/48,3,2001:678:54::/48
2001:678:58::/48,3,2001:678:58::/48
2001:678:5::/48,8,2001:678:5::/48
2001:678:5c::/48,3,2001:678:5c::/48
2001:678:60::/48,45,2001:678:60::/48
2001:678:68::/48,2,2001:678:68::/48
2001:678:6::/48,4,2001:678:6::/48
2001:678:6c::/48,2,2001:678:6c::/48
2001:678:74::/48,9,2001:678:74::/48
2001:678:7::/48,3,2001:678:7::/48
2001:678:80::/48,2,2001:678:80::/48
2001:678:8::/48,31,2001:678:8::/48
2001:678:94::/48,45,2001:678:94::/48
2001:678:b0c::/48,3,2001:678:b0c::/48
2001:678:b::/48,2,2001:678:b::/48
2001:678:be8::/48,2,2001:678:be8::/48
2001:678:c::/48,6,2001:678:c::/48
2001:678:e::/48,6,2001:678:e::/48
2001:678:f::/48,5,2001:678:f::/48
2001:67c:1010::/48,22,2001:67c:1010::/48
2001:67c:1011::/48,22,2001:67c:1011::/48
2001:67c:10b8::/48,19,2001:67c:10b8::/48
2001:67c:10e0::/48,2,2001:67c:10e0::/48
2001:67c:133c::/48,5,2001:67c:133c::/48
2001:67c:13cc::/48,13,2001:67c:13cc::/48
2001:67c:14c9::/48,10,2001:67c:14c9::/48
2001:67c:1bc::/48,22,2001:67c:1bc::/48
2001:67c:258::/48,2,2001:67c:258::/48
2001:67c:25a0::/48,17,2001:67c:25a0::/48
2001:67c:2778::/48,20,2001:67c:2778::/48
2001:67c:28a4::/48,2,2001:67c:28a4::/48
2001:67c:28cc::/48,3,2001:67c:28cc::/48
2001:67c:2f8c::/48,2,2001:67c:2f8c::/48
2001:67c:2ff4::/48,2,2001:67c:2ff4::/48
2001:67c:3c0::/48,3,2001:67c:3c0::/48
2001:67c:8cc::/48,10,2001:67c:8cc::/48
2001:67c:930::/48,6,2001:67c:930::/48
2001:67c:e0::/48,10,2001:67c:e0::/48
2001:6d0:ffd5::/48,2,2001:6d0:ffd5::/48
2001:7f9:c::/48,3,2001:7f9:c::/48
2001:7fb:ef01::/48,2,2001:7fb:ef01::/48
2001:7fd::/48,19,2001:7fd::/48
2001:7fd:ffff::/48,19,2001:7fd:ffff::/48
2001:7fe::/48,22,2001:7fe::/33
2001:8000:101::/48,4,2001:8000::/20
2001:8d8:105::/48,4,2001:8d8::/32
2001:8d8:5c0::/48,4,2001:8d8::/32
2001:8d8:5ff::/48,4,2001:8d8::/32
2001:8d8:fe::/48,6,2001:8d8:fe::/47
2001:920:7::/48,7,2001:920::/32
2001:920:8::/48,10,2001:920::/32
2001:b18:bbbb::/48,2,2001:b18::/32
2001:db0::/48,2,2001:db0::/36
2001:dc3::/48,7,2001:dc3::/32
2001:dc4::/48,2,2001:dc4::/32
2001:dc7:1000::/48,5,2001:dc7:1000::/48
2001:dc7:1::/48,4,2001:dc7:1::/48
2001:dc7:2::/48,6,2001:dc7:2::/48
2001:dc7:3::/48,4,2001:dc7:3::/48
2001:dc7::/48,5,2001:dc7::/48
2001:dc7:feff::/48,4,2001:dc7:feff::/48
2001:dc7:ffc1::/48,3,2001:dc7:ffc1::/48
2001:dc7:ffc2::/48,4,2001:dc7:ffc2::/48
2001:dc7:ffc3::/48,4,2001:dc7:ffc3::/48
2001:dc7:ffc4::/48,2,2001:dc7:ffc4::/48
2001:dc7:ffc5::/48,2,2001:dc7:ffc5::/48
2001:dc7:ffc6::/48,2,2001:dc7:ffc6::/48
2001:dc7:ffd1::/48,3,2001:dc7:ffd1::/48
2001:dc7:ffd2::/48,4,2001:dc7:ffd2::/48
2001:dc7:ffd3::/48,5,2001:dc7:ffd3::/48
2001:dc7:fffb::/48,4,2001:dc7:fffb::/48
2001:dc7:fffc::/48,3,2001:dc7:fffc::/48
2001:dc7:fffd::/48,6,2001:dc7:fffd::/48
2001:dc7:fffe::/48,4,2001:dc7:fffe::/48
2001:dc7:ffff::/48,5,2001:dc7:ffff::/48
2001:dcc:5::/48,2,2001:dcc:5::/48
2001:dcd:1::/48,18,2001:dcd:1::/48
2001:dcd:2::/48,17,2001:dcd:2::/48
2001:dcd:3::/48,19,2001:dcd:3::/48
2001:dcd:4::/48,18,2001:dcd:4::/48
2001:dcd:5::/48,17,2001:dcd:5::/48
2001:dcd:6::/48,17,2001:dcd:6::/48
2001:dcd:7::/48,18,2001:dcd:7::/48
2001:dd8:12::/48,8,2001:dd8:12::/48
2001:dd8:6::/48,3,2001:dd8:6::/48
2001:dd8:7::/48,37,2001:dd8:7::/48
2001:dd8:e::/48,9,2001:dd8:e::/48
2001:ddd::/48,12,2001:ddd::/48
2001:df3:46c0::/48,8,2001:df3:46c0::/48
2001:df3:6c40::/48,4,2001:df3:6c40::/48
2001:df5:4000::/48,2,2001:df5:4000::/48
2001:df6:7280::/48,5,2001:df6:7280::/48
2001:df6:7281::/48,2,2001:df6:7281::/48
2001:df7:6e80::/48,49,2001:df7:6e80::/48
2400:3200::/48,3,2400:3200::/48
2400:3200:baba::/48,3,2400:3200:baba::/48
2400:44a0:1::/48,3,2400:44a0:1::/48
2400:4840::/48,8,2400:4840::/48
2400:52e0:1::/48,4,2400:52e0:1::/48
2400:52e0:2::/48,2,2400:52e0:2::/48
2400:52e0:fff0::/48,29,2400:52e0:fff0::/48
2400:52e0:fff1::/48,26,2400:52e0:fff1::/48
2400:52e0:fff2::/48,24,2400:52e0:fff2::/48
2400:8280::/48,5,2400:8280::/32
2400:8800:f000::/48,2,2400:8800:e000::/35
2400:c540:53::/48,2,2400:c540:53::/48
2400:cb00:2049::/48,54,2400:cb00:2049::/48
2400:cb00:f00e::/48,53,2400:cb00:f00e::/48
2401:8d00:14::/48,2,2401:8d00:14::/48
2401:8d00:1::/48,6,2401:8d00:1::/48
2401:8d00:2::/48,5,2401:8d00:2::/48
2401:8d00:f::/48,6,2401:8d00:f::/48
2401:b180:4100::/48,3,2401:b180:4100::/48
2401:fd80:400::/48,4,2401:fd80:400::/48
2401:fd80:401::/48,4,2401:fd80:401::/48
2401:fd80:402::/48,4,2401:fd80:402::/48
2401:fd80:403::/48,4,2401:fd80:403::/48
2401:fd80:404::/48,3,2401:fd80:404::/48
2401:fd80:405::/48,3,2401:fd80:405::/48
2401:fd80:406::/48,3,2401:fd80:406::/48
2401:fd80:407::/48,3,2401:fd80:407::/48
2401:fd80:408::/48,2,2401:fd80:408::/48
2401:fd80:409::/48,2,2401:fd80:409::/48
2402:5ac0::/48,10,2402:5ac0::/32
2402:5c40:5c40::/48,28,2402:5c40:5c40::/48
2402:5c40:5c41::/48,17,2402:5c40:5c41::/48
2402:7d80:8888::/48,2,2402:7d80:8888::/48
2402:cf80:107::/48,21,2402:cf80:107::/48
2404:2280:1f0::/48,5,2404:2280:1f0::/48
2404:2280:1f1::/48,5,2404:2280:1f1::/48
2404:2280:1f2::/48,5,2404:2280:1f2::/48
2404:2280:1f3::/48,5,2404:2280:1f3::/48
2404:2280:1f4::/48,5,2404:2280:1f4::/48
2404:2280:1f5::/48,5,2404:2280:1f5::/48
2404:2280:1f6::/48,5,2404:2280:1f6::/48
2404:2280:1f7::/48,5,2404:2280:1f7::/48
2404:2280:1f8::/48,5,2404:2280:1f8::/48
2404:2280:1f9::/48,5,2404:2280:1f9::/48
2404:2280:1fa::/48,5,2404:2280:1fa::/48
2404:2280:1fb::/48,5,2404:2280:1fb::/48
2404:3700::/48,2,2404:3700::/48
2404:ae00:ffff::/48,3,2404:ae00:ffff::/48
2405:4200:ffff::/48,4,2405:4200::/32
2405:dc0:80ff::/48,2,2405:dc0:80ff::/48
2406:2000:1d0::/48,2,2406:2000:1d0::/48
2406:6e00:1::/48,10,2406:6e00:1::/48
2406:6e00:2::/48,9,2406:6e00:2::/48
2406:6e00::/48,4,2406:6e00::/48
2406:840:eb0f::/48,2,2406:840:eb0f::/48
2406:840:eb8c::/48,6,2406:840:eb8c::/48
2407:30c0:180::/48,50,2407:30c0:180::/48
2407:30c0:181::/48,50,2407:30c0:181::/48
2407:30c0:182::/48,50,2407:30c0:182::/48
2407:30c0:183::/48,50,2407:30c0:183::/48
2407:6e00:254::/48,2,2407:6e00:254::/48
2408:4009:500::/48,3,2408:4009:500::/48
240b:4006::/48,4,240b:4006::/48
2600:1401:1::/48,6,2600:1401:1::/48
2600:1401:2::/48,24,2600:1401:2::/48
2600:1403:11::/48,23,2600:1403:11::/48
2600:1403:a::/48,9,2600:1403:a::/48
2600:1405:1400::/48,6,2600:1405:1400::/48
2600:1405:1c00::/48,18,2600:1405:1c00::/48
2600:1405:2400::/48,14,2600:1405:2400::/48
2600:1405:2c00::/48,13,2600:1405:2c00::/48
2600:1405:3400::/48,6,2600:1405:3400::/48
2600:1405:3c00::/48,7,2600:1405:3c00::/48
2600:1405:400::/48,20,2600:1405:400::/48
2600:1405:4400::/48,17,2600:1405:4400::/48
2600:1405:4800::/48,23,2600:1405:4800::/48
2600:1405:4c00::/48,23,2600:1405:4c00::/48
2600:1405:5800::/48,18,2600:1405:5800::/48
2600:1405:6800::/48,22,2600:1405:6800::/48
2600:1405:7800::/48,18,2600:1405:7800::/48
2600:1405:8800::/48,9,2600:1405:8800::/48
2600:1405:9400::/48,22,2600:1405:9400::/48
2600:1405:9800::/48,6,2600:1405:9800::/48
2600:1405:9c00::/48,23,2600:1405:9c00::/48
2600:1405:a800::/48,23,2600:1405:a800::/48
2600:1405:b800::/48,9,2600:1405:b800::/48
2600:1405:c00::/48,5,2600:1405:c00::/48
2600:1405:c800::/48,6,2600:1405:c800::/48
2600:1405:d800::/48,9,2600:1405:d800::/48
2600:1405:e800::/48,4,2600:1405:e800::/48
2600:1405:f800::/48,8,2600:1405:f800::/48
2600:1406:1b::/48,6,2600:1406:1b::/48
2600:1406:32::/48,22,2600:1406:32::/48
2600:1408:1c::/48,23,2600:1408:1c::/48
2600:1480:1800::/48,5,2600:1480:1800::/48
2600:1480:1::/48,4,2600:1480:1::/48
2600:1480:2800::/48,9,2600:1480:2800::/48
2600:1480:2::/48,5,2600:1480:2::/48
2600:1480:3000::/48,13,2600:1480:3000::/40
2600:1480:4000::/48,12,2600:1480:4000::/40
2600:1480:400::/48,22,2600:1480:400::/48
2600:1480:4800::/48,18,2600:1480:4800::/48
2600:1480:5801::/48,2,2600:1480:5801::/48
2600:1480:6800::/48,24,2600:1480:6800::/48
2600:1480:7000::/48,18,2600:1480:7000::/48
2600:1480:7800::/48,12,2600:1480:7800::/48
2600:1480:800::/48,22,2600:1480:800::/48
2600:1480:8800::/48,17,2600:1480:8800::/48
2600:1480:9000::/48,19,2600:1480:9000::/48
2600:1480:9800::/48,6,2600:1480:9800::/48
2600:1480::/48,5,2600:1480::/48
2600:1480:b000::/48,9,2600:1480:b000::/48
2600:1480:b800::/48,7,2600:1480:b800::/48
2600:1480:c00::/48,23,2600:1480:c00::/48
2600:1480:d000::/48,9,2600:1480:d000::/48
2600:1480:d800::/48,16,2600:1480:d800::/48
2600:1480:e800::/48,13,2600:1480:e800::/48
2600:1480:f000::/48,8,2600:1480:f000::/48
2600:14c0:1::/48,34,2600:14c0:1::/48
2600:14c0:2::/48,4,2600:14c0:2::/48
2600:14c0:3::/48,4,2600:14c0:3::/48
2600:14c0:6::/48,35,2600:14c0:6::/48
2600:14c0:7::/48,34,2600:14c0:7::/48
2600:14c0::/48,33,2600:14c0::/48
2600:14c0:a::/48,34,2600:14c0:a::/48
2600:14c0:b::/48,34,2600:14c0:b::/48
2600:14c0:e::/48,4,2600:14c0:e::/48
2600:14c0:f::/48,5,2600:14c0:f::/48
2600:1800:10::/48,21,2600:1800:10::/48
2600:1800:15::/48,21,2600:1800:15::/48
2600:1800:5::/48,21,2600:1800:5::/48
2600:1800:8::/48,21,2600:1800:8::/48
2600:1800::/48,21,2600:1800::/48
2600:1801:11::/48,21,2600:1801:11::/48
2600:1801:13::/48,21,2600:1801:13::/48
2600:1801:1::/48,21,2600:1801:1::/48
2600:1801:3::/48,21,2600:1801:3::/48
2600:1801:6::/48,21,2600:1801:6::/48
2600:1802:12::/48,21,2600:1802:12::/48
2600:1802:14::/48,21,2600:1802:14::/48
2600:1802:2::/48,21,2600:1802:2::/48
2600:1802:4::/48,21,2600:1802:4::/48
2600:1802:7::/48,21,2600:1802:7::/48
2600:180a:1001::/48,21,2600:180a:1001::/48
2600:180a:4001::/48,21,2600:180a:4001::/48
2600:180b:2001::/48,21,2600:180b:2001::/48
2600:180b:5001::/48,21,2600:180b:5001::/48
2600:180c:3001::/48,21,2600:180c:3001::/48
2600:180c:6001::/48,21,2600:180c:6001::/48
2600:1900:8010::/48,33,2600:1900::/31
2600:1901:1::/48,34,2600:1901::/32
2600:1901::/48,35,2600:1901::/32
2600:1901:c1::/48,35,2600:1901::/32
2600:3400:4::/48,6,2600:3400::/28
2600:3500:1d1e::/48,10,2600:3500:1d1e::/48
2600:3500:ffff::/48,7,2600:3500:ffff::/48
2600:6c7f:f000::/48,3,2600:6c7f:f000::/48
2600:9000:2077::/48,22,2600:9000:2077::/48
2600:9000:5300::/48,15,2600:9000:5300::/48
2600:9000:5301::/48,15,2600:9000:5301::/48
2600:9000:5306::/48,22,2600:9000:5306::/48
2600:9000:5307::/48,22,2600:9000:5307::/48
2600:9000:a200::/48,39,2600:9000:a200::/48
2600:9000:a201::/48,39,2600:9000:a201::/48
2600:9000:a210::/48,38,2600:9000:a210::/48
2600:9000:a211::/48,38,2600:9000:a211::/48
2600:9000:a300::/48,38,2600:9000:a300::/48
2600:9000:a301::/48,39,2600:9000:a301::/48
2600:9000:a310::/48,39,2600:9000:a310::/48
2600:9000:a311::/48,38,2600:9000:a311::/48
2600:9000:a400::/48,38,2600:9000:a400::/43
2600:9000:a402::/48,37,2600:9000:a400::/43
2600:9000:a403::/48,38,2600:9000:a400::/43
2600:9000:a405::/48,37,2600:9000:a400::/43
2600:9000:a406::/48,39,2600:9000:a400::/43
2600:9000:a407::/48,37,2600:9000:a400::/43
2600:9000:a408::/48,37,2600:9000:a400::/43
2600:9000:a40a::/48,38,2600:9000:a400::/43
2600:9000:a40b::/48,38,2600:9000:a400::/43
2600:9000:a40c::/48,38,2600:9000:a400::/43
2600:9000:a40d::/48,38,2600:9000:a400::/43
2600:9000:a40e::/48,38,2600:9000:a400::/43
2600:9000:a40f::/48,38,2600:9000:a400::/43
2600:9000:a410::/48,38,2600:9000:a400::/43
2600:9000:a412::/48,38,2600:9000:a400::/43
2600:9000:a413::/48,38,2600:9000:a400::/43
2600:9000:a414::/48,39,2600:9000:a400::/43
2600:9000:a415::/48,38,2600:9000:a400::/43
2600:9000:a416::/48,39,2600:9000:a400::/43
2600:9000:a417::/48,38,2600:9000:a400::/43
2600:9000:a418::/48,37,2600:9000:a400::/43
2600:9000:a419::/48,39,2600:9000:a400::/43
2600:9000:a41a::/48,38,2600:9000:a400::/43
2600:9000:a41b::/48,38,2600:9000:a400::/43
2600:9000:a41c::/48,39,2600:9000:a400::/43
2600:9000:a41d::/48,37,2600:9000:a400::/43
2600:9000:a41e::/48,38,2600:9000:a400::/43
2600:9000:a41f::/48,38,2600:9000:a400::/43
2600:9000:a500::/48,40,2600:9000:a500::/43
2600:9000:a501::/48,37,2600:9000:a500::/43
2600:9000:a502::/48,38,2600:9000:a500::/43
2600:9000:a503::/48,38,2600:9000:a500::/43
2600:9000:a504::/48,37,2600:9000:a500::/43
2600:9000:a505::/48,39,2600:9000:a500::/43
2600:9000:a506::/48,39,2600:9000:a500::/43
2600:9000:a507::/48,38,2600:9000:a500::/43
2600:9000:a508::/48,38,2600:9000:a500::/43
2600:9000:a509::/48,38,2600:9000:a500::/43
2600:9000:a50a::/48,39,2600:9000:a500::/43
2600:9000:a50d::/48,38,2600:9000:a500::/43
2600:9000:a50e::/48,38,2600:9000:a500::/43
2600:9000:a511::/48,38,2600:9000:a500::/43
2600:9000:a512::/48,39,2600:9000:a500::/43
2600:9000:a513::/48,38,2600:9000:a500::/43
2600:9000:a515::/48,38,2600:9000:a500::/43
2600:9000:a518::/48,40,2600:9000:a500::/43
2600:9000:a51a::/48,37,2600:9000:a500::/43
2600:9000:a51b::/48,38,2600:9000:a500::/43
2600:9000:a51d::/48,39,2600:9000:a500::/43
2600:9000:a51f::/48,38,2600:9000:a500::/43
2600:9000:a600::/48,39,2600:9000:a600::/43
2600:9000:a601::/48,39,2600:9000:a600::/43
2600:9000:a602::/48,40,2600:9000:a600::/43
2600:9000:a603::/48,39,2600:9000:a600::/43
2600:9000:a604::/48,39,2600:9000:a600::/43
2600:9000:a605::/48,39,2600:9000:a600::/43
2600:9000:a606::/48,39,2600:9000:a600::/43
2600:9000:a607::/48,40,2600:9000:a600::/43
2600:9000:a608::/48,39,2600:9000:a600::/43
2600:9000:a60a::/48,39,2600:9000:a600::/43
2600:9000:a60b::/48,39,2600:9000:a600::/43
2600:9000:a60c::/48,39,2600:9000:a600::/43
2600:9000:a60d::/48,39,2600:9000:a600::/43
2600:9000:a60e::/48,40,2600:9000:a600::/43
2600:9000:a60f::/48,39,2600:9000:a600::/43
2600:9000:a611::/48,39,2600:9000:a600::/43
2600:9000:a613::/48,39,2600:9000:a600::/43
2600:9000:a614::/48,39,2600:9000:a600::/43
2600:9000:a615::/48,38,2600:9000:a600::/43
2600:9000:a616::/48,39,2600:9000:a600::/43
2600:9000:a617::/48,39,2600:9000:a600::/43
2600:9000:a618::/48,39,2600:9000:a600::/43
2600:9000:a619::/48,39,2600:9000:a600::/43
2600:9000:a61a::/48,39,2600:9000:a600::/43
2600:9000:a61b::/48,39,2600:9000:a600::/43
2600:9000:a61c::/48,39,2600:9000:a600::/43
2600:9000:a61e::/48,39,2600:9000:a600::/43
2600:9000:a61f::/48,39,2600:9000:a600::/43
2600:9000:a700::/48,38,2600:9000:a700::/43
2600:9000:a702::/48,39,2600:9000:a700::/43
2600:9000:a703::/48,39,2600:9000:a700::/43
2600:9000:a704::/48,39,2600:9000:a700::/43
2600:9000:a705::/48,39,2600:9000:a700::/43
2600:9000:a706::/48,38,2600:9000:a700::/43
2600:9000:a707::/48,39,2600:9000:a700::/43
2600:9000:a708::/48,38,2600:9000:a700::/43
2600:9000:a70a::/48,39,2600:9000:a700::/43
2600:9000:a70c::/48,40,2600:9000:a700::/43
2600:9000:a70d::/48,39,2600:9000:a700::/43
2600:9000:a70e::/48,39,2600:9000:a700::/43
2600:9000:a70f::/48,39,2600:9000:a700::/43
2600:9000:a710::/48,40,2600:9000:a700::/43
2600:9000:a711::/48,39,2600:9000:a700::/43
2600:9000:a712::/48,39,2600:9000:a700::/43
2600:9000:a715::/48,39,2600:9000:a700::/43
